distance_km, height_m, lat, lng
0.934, 575.5, 48.10573613603036, 13.665844421488487
0.955, 572.9, 48.10575486732266, 13.665570944362116
0.975, 570.3, 48.10577522283778, 13.665297773865632
0.995, 567.7, 48.10580241163415, 13.665025893586972
1.016, 565.5, 48.10582959978924, 13.664754013020683
1.036, 563.4, 48.10585678730304, 13.664482132166881
1.056, 561.4, 48.10587860052235, 13.664209281031049
1.077, 559.6, 48.10589533232056, 13.663935512563626
1.097, 557.7, 48.10591206346856, 13.663661743918055
1.117, 556.5, 48.10592879396634, 13.663387975094224
1.138, 555.6, 48.10594552381391, 13.663114206092132
1.158, 554.7, 48.10596225301125, 13.662840436911893
1.178, 553.4, 48.10597898155839, 13.662566667553392
1.198, 552.2, 48.10599331506653, 13.662292595098165
1.219, 550.7, 48.10600749269813, 13.662018502853016
1.239, 549, 48.10602166967797, 13.661744410456663
1.259, 547.4, 48.10603584600605, 13.661470317909107
1.28, 546.4, 48.1060400001565, 13.661195644904524
1.3, 545.4, 48.10603505781129, 13.660921038694482
1.32, 544.2, 48.10601973175481, 13.660647089231475
1.341, 542.9, 48.10599463434556, 13.660374757169393
1.361, 541.5, 48.1059695362929, 13.660102425373225
1.381, 540.9, 48.10594443759682, 13.65983009384297
1.402, 540.3, 48.10591933825734, 13.659557762578743
1.422, 539.6, 48.10589423827446, 13.659285431580429
1.442, 538.8, 48.10586913764818, 13.659013100848142
1.463, 538, 48.10584403637849, 13.658740770381883
1.483, 537.6, 48.10581863236748, 13.658468511704996
1.503, 537.2, 48.10578641289126, 13.658197866779119
1.523, 537.2, 48.10577000004981, 13.657925128507259
1.544, 537.6, 48.1057774788742, 13.657650547148137
1.564, 538, 48.10578831188737, 13.657376114053477
1.584, 539.1, 48.10579914424717, 13.65710168084297
1.605, 540.3, 48.10581371590825, 13.656827640913889
1.625, 541.6, 48.10582860772736, 13.656553634572788
1.645, 542.9, 48.10584349889513, 13.65627962807298
1.666, 544.1, 48.10585000007062, 13.656005111048557
1.686, 545.6, 48.10581220401077, 13.65573992959878
1.706, 547.1, 48.10575668377935, 13.655485604311934
1.727, 549.2, 48.10586148048696, 13.655259889593367
1.747, 551.3, 48.10596627675255, 13.655034173954391
1.767, 553.3, 48.10605778206819, 13.654796654233223
1.788, 555.1, 48.1061545525933, 13.654565745784112
1.808, 556.3, 48.10629822641741, 13.65439878984364
1.828, 556.9, 48.10646559025829, 13.65428823426464
1.848, 557.7, 48.10655665441182, 13.654100739312867
1.869, 559.1, 48.10656975697326, 13.653826524107217
1.889, 560.5, 48.10658285888238, 13.653552308761846
1.909, 562, 48.10659596013915, 13.65327809327664
1.93, 562.9, 48.10660906074359, 13.6530038776516
1.95, 563.8, 48.1066221606957, 13.652729661886724
1.97, 565, 48.10663525999546, 13.652455445982127
1.991, 566.5, 48.10664835864288, 13.652181229937696
2.011, 568.1, 48.10666145663795, 13.651907013753544
2.031, 570, 48.1066745539807, 13.65163279742967
2.052, 572, 48.10668765067108, 13.651358580966075
2.072, 573.7, 48.10670216833817, 13.65108466445281
2.092, 575.2, 48.10674019616352, 13.65081571053338
